(Child) ASIN,Title,SKU,Sessions - Total,Page Views - Total,Featured Offer (Buy Box) Percentage,Units Ordered,Units Ordered - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B00LOX57XW,"P&J Fragrance Oil - Cucumber Melon Scent, 30ml",FR30CCMFBA,303,386,0.9918,122,3,1096.24,26.43,120,3
B00LOX58KO,"P&J Trading Lily Essential Oil, 30ml - Premium Grade Fragrance Oil for Candle Making, Diffuser, Soap, Perfume, Aromatherapy, Home & Car Diffusion",FR30LIYSL,185,232,1,44,2,391.54,13.96,44,2
B00LOX59YY,"P&J Fragrance Oil - Ocean Breeze Scent, 30ml",FR30OCBFBA,322,399,0.9843,107,3,956.37,26.43,103,3
B00LOX5A16,"P&J Trading Fragrance | Grapefruit Oil 30ml - Candle Scents for Candle Making, Freshie Scent, Soap Making Supplies, Diffuser Oil Scents",FR30GRASL,52,64,1,25,3,218.72,20.94,25,3
B00LOX5BNI,"P&J Trading - Passion Fruit Scented Oil 30ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR30PAFSL,26,33,0.9667,12,1,107.7,8.81,12,1
B00LOX5CY6,"P&J Trading Fragrance | Ylang Ylang Oil 30ml - Candle Scents for Candle Making, Freshie, Soap Making Supplies, Diffuser Oil Scents",FR30YLYSL,61,73,0.9863,20,0,179.8,0,19,0
B00U20EA0E,"P&J Trading Fragrance Oil | Lemon Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30LEMSL,200,261,0.9957,102,7,893.92,48.86,94,6
B00U20EA2M,P&J Trading Fragrance Oil for Diffusers for Home - Amber 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10AME,70,83,0.9744,27,1,134.63,4.89,27,1
B00U20EBBM,"P&J Trading Fragrance Oil | Amber Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30AME,874,1105,0.9932,1,0,8.99,0,1,0
B00U20EBBM,"P&J Trading Fragrance Oil | Amber Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30AMEFBA,874,1105,0.9932,287,10,2578.33,88.1,281,10
